,activemq,activemq-transport-jgroups,1.2,2005-09-20 05:44     10617,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/1.2/activemq-transport-jgroups-1.2.jar
,activemq,activemq-transport-jgroups,1.1-G1M3,2005-09-20 05:44     10621,,https://repo1.maven.org/maven2/activemq/activemq-transport-jgroups/1.1-G1M3/activemq-transport-jgroups-1.1-G1M3.jar
,activemq,activemq-transport-jabber,2.1,2005-09-20 05:44      4204,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/2.1/activemq-transport-jabber-2.1.jar
,activemq,activemq-transport-jabber,2.0,2005-09-20 05:44      4203,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/2.0/activemq-transport-jabber-2.0.jar
,activemq,activemq-transport-jabber,1.5,2005-09-20 05:44      4098,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/1.5/activemq-transport-jabber-1.5.jar
,activemq,activemq-transport-jabber,1.4,2005-09-20 05:44      4098,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/1.4/activemq-transport-jabber-1.4.jar
,activemq,activemq-transport-jabber,1.3,2005-09-20 05:44      4098,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/1.3/activemq-transport-jabber-1.3.jar
,activemq,activemq-transport-jabber,1.2,2005-09-20 05:44      4098,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/1.2/activemq-transport-jabber-1.2.jar
,activemq,activemq-transport-jabber,1.1-G1M3,2005-09-20 05:44      4102,,https://repo1.maven.org/maven2/activemq/activemq-transport-jabber/1.1-G1M3/activemq-transport-jabber-1.1-G1M3.jar
,activemq,activemq-transport-http,2.1,2005-09-20 05:44     22317,,https://repo1.maven.org/maven2/activemq/activemq-transport-http/2.1/activemq-transport-http-2.1.jar
,activemq,activemq-transport-http,2.0,2005-09-20 05:44     22316,,https://repo1.maven.org/maven2/activemq/activemq-transport-http/2.0/activemq-transport-http-2.0.jar
